,exchange,open,high,low,close,volume,trade_count,vwap,symbol
2020-04-08,FTXU,7314.0,7314.0,7314.0,7314.0,0.0001,1,7314.0,BTCUSD
2020-04-14,FTXU,7101.5,7101.5,7100.0,7100.0,0.0002,2,7100.75,BTCUSD
2020-04-22,FTXU,7118.5,7118.5,7118.5,7118.5,0.0001,1,7118.5,BTCUSD
2020-04-28,FTXU,7748.5,7836.0,7748.5,7836.0,0.084,2,7835.6875,BTCUSD
2020-04-30,FTXU,8829.0,8829.0,8653.0,8653.0,0.0134,3,8715.8059701493,BTCUSD
2020-05-01,FTXU,8826.5,8834.0,8716.0,8816.5,0.3007,4,8830.6735949451,BTCUSD
2020-05-02,FTXU,9045.0,9045.0,9045.0,9045.0,0.0068,1,9045.0,BTCUSD
2020-05-04,FTXU,8955.0,8955.0,8883.5,8883.5,0.5008,2,8883.6142172524,BTCUSD
2020-05-05,FTXU,9007.5,9007.5,8877.5,8889.5,1.0382,3,9003.8638990561,BTCUSD
2020-05-07,FTXU,9730.0,9800.5,9730.0,9800.5,1.8039,2,9768.31207384,BTCUSD
2020-05-08,FTXU,10001.5,10001.5,10001.5,10001.5,1.797,1,10001.5,BTCUSD
2020-05-09,FTXU,9501.0,9501.0,8484.0,8484.0,1.9421,10,9437.7358529427,BTCUSD
2020-05-10,FTXU,8430.0,8520.5,8389.0,8520.5,1.9132,3,8389.4800073176,BTCUSD
2020-05-11,FTXU,8248.5,8581.0,8248.5,8511.5,1.5104,4,8579.3337526483,BTCUSD
2020-05-12,FTXU,8843.5,8843.5,8843.5,8843.5,0.0282,1,8843.5,BTCUSD
2020-05-13,FTXU,9285.0,9285.0,9285.0,9285.0,1.0,2,9285.0,BTCUSD
2020-05-14,FTXU,9615.0,9615.0,9615.0,9615.0,0.9991,2,9615.0,BTCUSD
2020-05-18,FTXU,9601.0,9601.0,9601.0,9601.0,0.0104,1,9601.0,BTCUSD
2020-05-21,FTXU,8984.0,8984.0,8984.0,8984.0,0.0061,1,8984.0,BTCUSD
