,open,high,low,close,volume,trade_count,vwap,symbol
2020-02-03,673.69,786.14,673.52,780.0,47316151,837249,737.432873,TSLA
2020-02-04,883.76,968.9899,833.88,887.06,61049460,1287721,904.70696,TSLA
2020-02-05,823.39,845.98,704.1106,734.7,48453586,1033190,764.153427,TSLA
2020-02-06,700.12,795.83,687.0,748.96,39881797,804002,748.46175,TSLA
2020-02-07,730.09,769.75,730.0,748.07,17132210,329931,746.772772,TSLA
2020-02-10,800.0,819.99,752.4,771.28,24715423,503954,779.287471,TSLA
2020-02-11,768.19,783.5061,758.0,774.38,11697523,235503,773.043083,TSLA
2020-02-12,777.87,789.75,763.37,767.29,12038070,233449,775.062721,TSLA
2020-02-13,741.84,818.0,735.0,804.0,26289354,498952,788.487337,TSLA
2020-02-14,787.7,812.97,785.5,800.03,15706911,282866,801.311117,TSLA
2020-02-18,842.22,860.0,832.36,858.4,16701060,335968,849.618582,TSLA
2020-02-19,923.0,944.78,901.02,917.42,25430664,511346,921.764078,TSLA
2020-02-20,911.95,912.0,859.94,899.41,17635067,357924,890.983704,TSLA
2020-02-21,906.05,913.06,880.45,901.0,14339859,265741,895.047697,TSLA
2020-02-24,838.59,863.5,822.2,833.79,15192274,340315,842.654705,TSLA
2020-02-25,849.0,856.6,787.0,799.91,17323981,376591,810.84729,TSLA
2020-02-26,782.45,813.31,776.11,778.8,14163418,299005,790.551641,TSLA
2020-02-27,730.21,739.77,669.0,679.0,24277903,499892,703.296575,TSLA
2020-02-28,625.81,690.52,611.52,667.99,24571473,479340,646.655592,TSLA
2020-03-02,711.53,743.69,686.67,743.62,20204181,400095,716.360167,TSLA
2020-03-03,805.45,806.98,716.1106,745.51,25794609,523092,765.010857,TSLA
2020-03-04,763.8,766.52,724.7345,749.5,15049036,291779,745.389315,TSLA
2020-03-05,723.77,745.75,718.07,724.54,10854217,212442,730.318222,TSLA
2020-03-06,692.0,707.0,684.27,703.48,12663318,259528,695.191406,TSLA
2020-03-09,607.56,662.998,605.0,608.0,17103201,341263,627.365838,TSLA
2020-03-10,659.18,668.0,608.0,645.33,15594488,302024,638.495306,TSLA
2020-03-11,640.01,653.58,613.0,634.23,13458045,246543,634.332412,TSLA
2020-03-12,580.5,594.5,546.25,560.55,18922114,371895,564.484189,TSLA
2020-03-13,595.0,607.57,502.0,546.62,22641801,426667,540.612223,TSLA
2020-03-16,468.5,494.8699,442.17,445.07,20501540,381029,465.187843,TSLA
2020-03-17,440.01,471.85,396.0,430.2,24042296,431553,429.508659,TSLA
2020-03-18,390.0,404.86,350.51,361.22,23789229,434985,375.133749,TSLA
2020-03-19,374.01,452.0,358.46,427.64,30218080,543185,413.710651,TSLA
2020-03-20,438.73,477.0,425.79,427.53,28292502,485124,444.818701,TSLA
2020-03-23,432.41,441.9999,410.5,434.29,16494149,284108,427.594637,TSLA
2020-03-24,477.5,513.69,474.0,505.0,22932710,439501,497.107854,TSLA
2020-03-25,545.99,557.0,511.11,539.25,21222815,430948,539.29457,TSLA
2020-03-26,549.75,560.0,512.25,528.16,17427963,357346,533.111336,TSLA
2020-03-27,504.28,525.8,494.03,514.36,14382139,275573,508.022033,TSLA
2020-03-30,510.26,516.6471,491.23,502.13,11998474,224808,504.677607,TSLA
2020-03-31,501.25,542.96,497.0,524.0,17836295,293522,525.759246,TSLA
2020-04-01,504.0,513.9548,475.1,481.56,13357018,270899,494.5598,TSLA
2020-04-02,481.28,494.2599,446.4,454.47,19858727,378133,477.096251,TSLA
2020-04-03,509.77,515.49,468.3901,480.01,22562279,391080,488.731867,TSLA
2020-04-06,511.49,521.0,497.96,516.24,14951936,275891,510.02116,TSLA
2020-04-07,545.0,565.0,532.34,545.45,17919978,344486,548.924975,TSLA
2020-04-08,553.5,557.2081,533.33,548.84,12656024,231565,546.458558,TSLA
2020-04-09,562.27,575.1818,557.11,573.0,13650000,261485,568.176296,TSLA
2020-04-13,591.03,652.0,580.53,650.95,22475444,441170,620.923776,TSLA
2020-04-14,698.65,741.88,692.43,709.89,30576667,655146,722.452684,TSLA
2020-04-15,741.49,753.13,710.0,729.83,23659403,477432,732.954655,TSLA
2020-04-16,716.41,759.45,706.715,745.21,20657864,406968,737.487077,TSLA
2020-04-17,772.92,774.95,747.66,753.89,13128243,275594,759.136647,TSLA
2020-04-20,732.7,765.57,712.21,746.36,14752777,288932,748.115609,TSLA
2020-04-21,729.2,753.33,673.79,686.72,20221693,453969,708.33109,TSLA
2020-04-22,702.03,734.0,688.71,732.11,14224832,283998,710.014164,TSLA
2020-04-23,727.05,734.0,703.13,705.63,13236698,253703,720.578801,TSLA
2020-04-24,710.81,730.73,698.18,725.15,13237637,235390,714.878647,TSLA
2020-04-27,737.61,799.49,735.0,798.75,20681442,433976,783.972936,TSLA
2020-04-28,795.3,805.0,756.69,769.12,15222719,313311,776.861887,TSLA
2020-04-29,791.68,803.1999,783.16,800.51,16223632,369255,806.504911,TSLA
2020-04-30,855.0,869.82,763.5,781.88,28477961,615142,814.171635,TSLA
2020-05-01,755.0,772.77,683.04,701.32,32544885,728694,719.397692,TSLA
2020-05-04,701.02,762.0,698.0,761.19,19237103,398098,737.474273,TSLA
2020-05-05,789.95,798.92,762.18,768.21,16991656,334419,778.592132,TSLA
2020-05-06,776.5,789.8,761.11,782.58,11123240,224303,777.491459,TSLA
2020-05-07,777.01,796.4,772.35,780.04,11527736,225776,782.982572,TSLA
2020-05-08,793.96,824.0,787.01,819.42,16152669,337095,813.739506,TSLA
2020-05-11,790.51,824.0,785.0,811.29,16520136,310651,808.160051,TSLA
2020-05-12,827.0,843.29,808.0,809.41,15906905,309849,828.84902,TSLA
2020-05-13,819.82,826.0,763.3,790.96,19065491,382711,793.800775,TSLA
2020-05-14,778.53,803.36,764.0,803.33,13682188,293001,784.535282,TSLA
2020-05-15,790.8,805.0486,786.552,799.17,10521597,196867,797.818308,TSLA
2020-05-18,827.0,834.7201,803.88,813.63,11698114,240671,816.907267,TSLA
2020-05-19,815.17,822.07,806.08,808.01,9637522,189327,814.479853,TSLA
2020-05-20,820.0,826.0,811.8,815.56,7309273,155017,817.491865,TSLA
2020-05-21,816.0,832.5,796.0,827.6,12255188,240571,814.928926,TSLA
2020-05-22,823.29,831.78,812.0,816.88,9987475,191846,822.139315,TSLA
2020-05-26,834.5,834.6,815.705,818.87,8216486,171504,822.407954,TSLA
2020-05-27,820.08,827.71,785.0,820.23,11558468,263661,807.980524,TSLA
2020-05-28,813.63,824.75,801.69,805.81,7275819,156554,814.820594,TSLA
2020-05-29,808.57,835.0,804.21,835.0,11813068,222329,820.481729,TSLA
2020-06-01,858.8,899.0,854.1,898.1,15086239,350787,879.6919,TSLA
2020-06-02,895.0,908.66,871.0,881.56,13565696,287106,889.545797,TSLA
2020-06-03,888.12,897.94,880.1,882.96,7949469,171315,888.133767,TSLA
2020-06-04,889.99,895.75,858.44,864.38,8890713,199340,879.08662,TSLA
2020-06-05,878.98,886.52,866.2,885.66,7811978,169738,877.623856,TSLA
2020-06-08,918.08,950.0,909.16,949.92,14174727,311689,929.84681,TSLA
2020-06-09,940.01,954.4399,923.931,940.67,11389453,245350,942.13927,TSLA
2020-06-10,991.47,1027.48,982.5,1025.05,18563548,442842,1005.909591,TSLA
2020-06-11,989.99,1018.9599,972.0,972.84,15934620,392146,991.298202,TSLA
2020-06-12,980.0,987.98,912.6,935.28,16763374,420079,946.184326,TSLA
2020-06-15,917.42,998.84,908.5,990.9,15697433,345609,960.523215,TSLA
2020-06-16,1011.85,1012.88,962.39,982.13,14051116,301759,987.656002,TSLA
2020-06-17,987.72,1005.0,982.571,991.79,9890800,195009,993.729186,TSLA
2020-06-18,1003.26,1019.2,994.4708,1003.96,9755748,206861,1004.316033,TSLA
2020-06-19,1012.78,1015.9699,991.34,1000.9,8679749,187488,1002.169937,TSLA
2020-06-22,999.95,1008.88,990.02,994.32,6362350,140254,998.29475,TSLA
2020-06-23,998.52,1012.0,994.0101,1001.78,6365271,137744,1003.133162,TSLA
2020-06-24,994.11,1000.8846,953.1414,960.85,10959593,277344,970.279919,TSLA
2020-06-25,954.2,985.98,937.15,985.98,9262550,209003,964.547608,TSLA
2020-06-26,994.55,995.0,954.87,959.74,8854958,184299,969.980458,TSLA
2020-06-29,968.14,1010.0,948.5201,1009.35,9027408,227702,985.531243,TSLA
2020-06-30,1006.5,1087.69,1003.73,1079.81,16918501,373179,1062.238785,TSLA
2020-07-01,1083.5,1135.33,1080.5,1119.63,13326897,331230,1117.340944,TSLA
2020-07-02,1221.48,1228.0,1185.6,1208.66,17250127,443897,1207.348673,TSLA
2020-07-06,1276.69,1377.79,1266.044,1371.58,20570284,595344,1323.913104,TSLA
2020-07-07,1405.0,1429.5,1336.71,1389.86,21493299,695483,1390.279311,TSLA
2020-07-08,1405.64,1417.26,1311.34,1365.88,16319833,483790,1375.58145,TSLA
2020-07-09,1396.5,1408.56,1351.28,1394.28,11717710,350517,1382.485199,TSLA
2020-07-10,1395.78,1548.915,1376.0101,1544.65,23346353,652284,1469.905554,TSLA
2020-07-13,1659.0,1794.99,1471.1101,1497.06,38996185,1412139,1662.907002,TSLA
2020-07-14,1556.0,1590.0,1431.0,1516.8,23429302,796677,1519.568254,TSLA
2020-07-15,1542.54,1550.0,1457.0,1546.01,16368689,542591,1505.83877,TSLA
2020-07-16,1477.16,1531.71,1466.0,1500.64,14300795,432804,1498.077114,TSLA
2020-07-17,1513.45,1537.51,1490.0,1500.84,9332637,280673,1507.736306,TSLA
2020-07-20,1519.49,1650.0,1488.0,1643.0,17140645,583950,1579.177661,TSLA
